,title,isbn13,loan_cnt,author,publisher,sex,age,genre
0,쿠키 :한 입의 우정 수업,9791185564012,9,에이미 크루즈 로젠탈 글 ;최현경 옮김,책읽는곰,,,Baking
1,사랑한다고 상처를 허락하지 말 것,9791165340957,9,김달 지음,비에이블,,,Literary Collections
2,용선생의 시끌벅적 과학교실 16 : 기체 - 갓 구운 빵이 냄새도 좋은 까닭은?,9791162731222,9,"김영은 (지은이), 김인하, 김지희, 전성연 (그림), 노석구 (감수), 이우일 (캐릭터), 사회평론 과학교육연구소 (구성)",사회평론,,,Korea
3,"나는 무조건 합격하는 공부만 한다 :26살, 9개월 만에 사법시험을 패스한 이윤규 변호사의 패턴 공부법",9791162541210,9,이윤규 지음,비즈니스북스,,,Self-Help
4,돈의 감각 =절호의 투자 타이밍을 귀신같이 눈치채는 비결 /The sense of money,9791162540985,9,이명로 지음,비즈니스북스,,,Business & Economics
5,두더지의 소원,9791160940046,9,김상근 (지은이),사계절,,,Korean language materials
6,철학으로 휴식하라 :회복과 치유를 위한 33일간의 철학 세러피,9791160946550,9,안광복 지음,사계절,,,Psychology
7,"어딘가 상상도 못 할 곳에, 수많은 순록 떼가 :켄 리우 소설",9791158887162,9,지은이: 켄 리우 ;옮긴이: 장성주,황금가지,,,Fiction
8,부자 아빠 가난한 아빠 :20주년 특별 기념판,9791158883591,9,지은이: 로버트 기요사키 ;옮긴이: 안진환,민음인,,,Business & Economics
9,먹어도 먹어도 줄지 않는 죽,9791158361402,9,최숙희 (지은이),책읽는곰,,,Sharing
10,쓰레기통 요정,9791158361518,9,안녕달 (지은이),책읽는곰,,,Bears
11,왜냐면…,9791158360382,9,안녕달 (지은이),책읽는곰,,,Fiction
12,65층 나무 집,9788952782380,15,앤디 그리피스,시공주니어,,,Children's stories
13,나쁜 엄마,9788959774968,12,윤수천 글 ;이경하 그림,좋은책 좋은책어린이,,,Fiction
14,(만화로 보는)그리스 로마 신화,9788957363133,12,토머스 불핀치 지음;서영 그림,가나출판사,,,"Mythology, Classical"
15,아빠는 회사에서 내 생각 해?,9788955823240,12,김영진 글·그림,길벗어린이,,,Fiction
16,"걷는 사람, 하정우",9788954653817,12,글·사진: 하정우,문학동네,,,Literary Collections
17,(사시사철) 우리 놀이 우리 문화,9788953535671,12,닥종이 인형: 백희나;그림: 최지경,한솔교육,,,Korea
18,스무고개 탐정,9788949195810,12,허교범 글 ;고상미 그림,비룡소,,,Detective and mystery stories
19,그리스 로마 신화 18 : 아르고호 원정대의 용감한 모험,9788950971533,12,"박시연 (지은이), 최우빈 (그림), 김헌 (감수)",아울북,,,Juvenile Fiction
20,건방이의 건방진 수련기,9788949195797,12,천효정 글 ;강경수 그림,비룡소,,,Juvenile Fiction
21,이만큼 가까이 :정세랑 장편소설,9788936434106,12,지은이: 정세랑,창비,,,Literary Collections
22,푸른 사자 와니니 :이현 장편동화,9788936442804,12,지은이: 이현 ;그린이: 오윤화,창비,,,Education
23,페스트,9788937462672,12,지은이: 알베르 카뮈 ;옮긴이: 김화영,민음사,,,Fiction
24,내일은 실험왕 :본격 대결 과학실험 만화,9788937839696,12,"글: 곰돌이 co. ,그림: 홍종현",미래엔,,,Environment
25,내 동생 싸게 팔아요,9788937841668,12,글: 임정자;그림: 김영수,대한교과서,,,Brothers and sisters
26,자연사 박물관에서 살아남기 2,9788937883262,12,글: 곰돌이 co. ;그림: 한현동,미래엔,,,Graphic novels
27,(코믹 메이플스토리) 수학도둑 :사고력과 이해력을 향상시켜 주는 국내 최초 수학논술만화,9788926393604,12,글: 송도수 ;서정 엔터테인먼트,서울문화사,,,Comics & Graphic Novels
28,쿠르릉 쾅쾅! 무슨 일일까?,9788927189909,12,고선아 글,그레이트Books,,,Literary Collections
29,실패 도감 - 실패의 모든 것,9788901241760,12,"이로하 편집부 (지은이), Mugny (그림), 강방화 (옮긴이)",웅진주니어,,,Fiction
30,나는 말하듯이 쓴다 :강원국의 말 잘하고 글 잘 쓰는 법,9791190786867,13,강원국 지음,위즈덤하우스,,,Literary Collections
31,아이와 나는 한 팀이었다 :성적의 가속도를 올리는 엄마 아이 팀워크,9791190786812,13,최성현 지음,위즈덤하우스,,,Family & Relationships
